name,mz
C4:0,87.0452
C5:0,101.0603
C6:0,115.0759
C7:0,129.0916
C8:0,143.1072
C9:0,157.1229
C10:0,171.1385
C11:0,185.1542
C12:0,199.1698
C13:0,213.1855
C14:0,227.2011
C15:0,241.2168
C16:0,255.2324
C16:1,253.2168
C17:0,269.2481
C18:0,283.2637
C18:1,281.2481
C18:2,279.2324
C18:3,277.2168
C18:4,275.2011
C19:0,297.2794
C20:0,311.295
C20:1,309.2794
C20:2,307.2637
C20:3,305.2481
C20:4,303.2324
C20:5,301.2168
C21:0,325.3107
C22:0,339.3263
C22:1,337.3107
C22:2,335.295
C22:3,333.2794
C22:4,331.2637
C22:5,329.2481
C22:6,327.2324
C23:0,353.342
C24:0,367.3576
C24:1,365.342
C24:2,363.3263
C24:3,361.3107
C24:4,359.295
C24:5,357.2794
C24:6,355.2637
C25:0,381.3733
C26:0,395.3889
C26:1,393.3733
C26:2,391.3576
C26:3,389.342
C26:4,387.3263
C26:5,385.3107
C26:6,383.295
C27:0,409.4046
C28:0,423.4202
C28:1,421.4046
C28:2,419.3889
C29:0,437.4359
C30:0,451.4515
C30:1,449.4359
C30:2,447.4202
C31:0,465.4672
C32:0,479.4828
C32:1,477.4672
C32:2,475.4515
C33:0,493.4985
C34:0,507.5141
C34:1,505.4985
C34:2,503.4828
C35:0,521.5298
C36:0,535.5454
C36:1,533.5298
C36:2,531.5141
